110.144,109.985,110.146,110.062,960,41.40214449,0.01147529,115860.85795675,25.30182672,110.14565876,-0.03292647,0.04642857,-0.12658962,110.06283229,0.03441038,-103.6231884,0.25779037,110.2692305,-7.23692308,0,0.02809709,110.067,0.16770833,99.91103849,39.88023018,110.14565876,0.00064961,-0.01450826,181224,110.149,-0.09538581,0.03497959,59.71014493,-58.37837838,1.02461538,0.77846154,-100.72738772,-96.94501019,-89.76773383,-81.37510879,-73.15293402,-76.60533233,-115.2456354,-156.71497585,-146.14740369,-125.27472527,-100,-107.97897754,-113.64314401,-119.62219599,-125.43448475,-130.34496199,-135.3466242,-139.41847626,-142.48651664,-146.51352353,-149.20300445,-152.25851067,51.34099617,1
110.06,109.872,110.065,109.914,826,29.57260521,-0.01613706,115394.36054742,27.25216043,110.13845424,-0.05950882,0.05878571,-0.21136253,110.02532424,-0.01836253,-244.08976426,0.18300654,110.2632245,-15.82107692,0,0.02033778,110.0105,0.23365617,99.77668845,30.94515182,110.13845424,-0.01197897,-0.02909074,180398,110.149,-0.13088665,0.0639891,37.54789272,-85.76271186,1.12636695,0.66099635,-239.88792154,-236.20689655,-233.93397793,-222.60470453,-202.60416667,-206.29173707,-200.49019608,-174.24023155,-152.77777778,-133.33333333,-100,-250.27644673,-257.33437799,-265.80893925,-275.48638133,-284.31080925,-288.86498118,-293.95139882,-295.34718653,-296.03325416,-300.80330104,-306.01522972,41.70731707,0
109.917,109.851,109.966,109.912,949,29.4501477,-0.04497176,115452.12576481,29.38672401,110.13253468,-0.09694706,0.06578571,-0.20788217,109.99492668,-0.09288217,-219.37216572,0.175,110.2527855,-17.155,0,0.01274528,110,0.12118019,99.77215581,27.00645182,110.13253468,-0.02073507,-0.04034378,179449,110.146,-0.17936978,0.08316352,24.35723951,-80.51118211,1.21715527,0.6742671,-214.91935483,-209.66050235,-199.78632478,-182.56520186,-172.43607369,-153.36531023,-135.02887333,-117.22352941,-100.02188663,-82.93333333,-72.70471464,-222.55218055,-227.41063184,-234.45679614,-243.54799514,-253.22912381,-262.73477026,-270.85370921,-277.877429,-282.18705176,-282.85623971,-287.09319048,38.37953092,0
109.912,109.884,109.942,109.919,706,30.53437054,-0.05936824,115598.19473033,31.2366791,110.12953202,-0.12880294,0.06821429,-0.154899,109.97066731,-0.096899,-161.65099268,0.1787234,110.2422035,-12.49076923,0,0.01096628,110,0.08215297,99.79300389,34.87499072,110.12953202,-0.02546216,-0.0481421,180155,110.1283,-0.20291559,0.09623897,19.58762887,-77.25752508,1.23141361,0.73089005,-152.68177163,-142.8074246,-131.85623245,-120.03092201,-108.13498042,-96.54073011,-85.25298754,-74.31972789,-63.64617044,-57.2036151,-39.47368421,-167.78621495,-172.65552067,-177.4665818,-182.76464267,-189.39100693,-196.4299221,-203.40449025,-209.57977208,-221.20291363,-225.71108981,-228.46642165,37.70491803,0
109.92,109.908,109.957,109.947,574,34.84755318,-0.06371824,115937.90901604,30.73571764,110.12895263,-0.15919412,0.07021429,-0.11777057,109.9542242,-0.06877057,-107.64227642,0.20886076,110.234982,-6.49061538,0,0.01008262,110,0.08536585,99.81661204,41.86129619,110.12895263,-0.0251174,-0.05146965,180729,110.111662,-0.18807743,0.10093898,25.25252525,-67.7852349,1.19532045,0.77416073,-99.61130019,-91.7472119,-84.04701931,-76.24738267,-68.16814079,-59.77653631,-50.97657307,-41.76964904,-27.52293578,39.15343915,100,-114.67889908,-121.44928657,-127.52285182,-132.05592957,-137.15187898,-142.41230728,-147.63636364,-152.84644195,-162.50185488,-166.85526827,-171.00925574,60.81081081,1
109.948,109.932,109.965,109.934,544,33.79827085,-0.05190235,115459.84840998,28.74707153,110.12914858,-0.17599118,0.06792857,-0.08066049,109.93708738,-0.04766049,-82.2180776,0.24485126,110.2330515,-5.64923077,0,0.01694982,110,0.06066176,99.85466965,48.11449369,110.12914858,-0.02382538,-0.0545272,180185,110.09602228,-0.18054357,0.09982071,30.60718711,-72.14765101,1.19242902,0.84016824,-76.02646331,-70.04546967,-63.92716842,-57.41496599,-50.43115702,-42.78093727,-34.36073059,-17.52628944,55.06478209,81.65680473,68.62745098,-88.61838101,-95.19358666,-101.05799832,-106.61877886,-112.18656441,-116.42305186,-121.03776613,-125.7803514,-134.40348994,-138.48204154,-142.20822653,54.28571429,1
109.933,109.931,109.989,109.983,835,41.00846823,-0.02501294,116122.08978929,25.16168487,110.12767561,-0.1715,0.06842857,-0.07742328,109.92815321,-0.01942328,-51.75216289,0.30254042,110.231693,-3.85384615,0,0.0334392,110,0.06946108,99.92186719,56.03971993,110.12767561,-0.01733868,-0.05239248,181020,110.08132094,-0.19282029,0.08976342,48.06800618,-55.70469799,1.12212944,0.87056367,-47.61996008,-43.12459651,-37.57494293,-30.69960194,-21.85248714,-10.54955269,23.57180293,121.82628062,123.13432835,120.9039548,100,-56.40874188,-61.57303371,-67.15044908,-72.65911363,-77.55871339,-82.31650435,-86.96213425,-90.84554409,-98.49756098,-102.27055473,-105.76968064,66.42857143,0
109.983,109.976,110.039,110.034,631,47.42652145,0.00999647,116652.93105914,25.35838913,110.1271621,-0.14637647,0.06978571,-0.0360771,109.92459257,0.0269229,-8.14312153,0.39519651,110.232122,-1.74738462,110.039,0.05614274,110,0.09984152,99.99182138,62.85276377,110.1271621,-0.0074676,-0.04605455,181651,110.06750169,-0.1901528,0.07986501,71.99211045,-38.59060403,1.03582395,0.94472876,-5.3891329,0.11732958,8.9725743,22.19381065,39.42186845,89.26110093,178.41662189,155.65438373,139.66049382,129.66558792,100,-9.95847276,-13.09424217,-17.48393021,-22.86221408,-28.02202478,-32.9285736,-37.38808274,-41.36957422,-47.86468253,-50.8970798,-54.10930911,72.72727273,1
110.03,110.022,110.035,110.028,246,46.78167668,0.03559118,116634.00798221,25.52886615,110.12241887,-0.11877647,0.06778571,0.0076482,109.92117239,0.0206482,4.59476707,0.38444444,110.22869,-1.722,0,0.07115192,109.9985,0.05284553,99.96184246,61.72155287,110.12241887,0.00090967,-0.04104272,181405,110.05451159,-0.15474453,0.07573054,94.81132075,-40.60402685,1.04952582,0.97997893,10.11790269,19.09994767,32.20405974,47.91666667,87.88558609,136.1373565,120.21213205,111.0542477,94.78371501,78.66666667,66.46341463,2.21593008,0.92655538,-1.91683466,-6.20626711,-11.6003826,-16.69372036,-21.56649385,-25.91617503,-32.91201015,-35.78909735,-38.57805255,86.56716418,1
110.029,110.021,110.037,110.024,153,46.32942082,0.04632412,116538.38298221,26.16846275,110.11057895,-0.09525588,0.06528571,0.00526989,109.91732974,0.02126989,9.11798397,0.33173077,110.2297625,-1.29461538,0,0.07415788,109.958,0.10457516,99.91372969,58.26895678,110.11057895,0.00748041,-0.03696744,181252,110.04230089,-0.12179888,0.06341063,92.1319797,-41.94630872,1.08971554,0.94857768,17.78540028,29.90765564,43.45392317,73.64897178,104.86978615,94.19568823,83.2386047,72.63681592,62.3306233,54.96383958,43.47826087,3.68769074,1.29116551,-0.04028341,-2.89687138,-7.14688052,-12.4327957,-17.38555944,-22.11947747,-29.91908427,-33.01096558,-35.88157397,72.82608696,0
